,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
218,1798944,1.0,True,Centrum-West,52.38,4.887,Private room,2,1,1,3,60.0,3,30,True,6,5,4.31,False,30.0,180.0,0.07,0.14,0.17,2.99,0.6931506849315069,301.986301369863
219,1798945,0.0,False,Centrum-Oost,52.38,4.9,Entire home/apt,4,2,2,15,365.0,5,101,True,0,0,4.81,False,91.25,1825.0,0.1,0.18,0.26,4.99,0.0,1853.9315068493152
220,1812581,0.5,False,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,4,2,2,13,400.0,4,109,True,0,0,4.32,True,100.0,1600.0,0.05,0.23,0.28,10.99,0.5917808219178082,2000.0
221,1828391,1.0,False,Noord-West,52.4,4.906,Entire home/apt,5,3,3,5,200.0,3,101,True,0,0,4.9,False,40.0,600.0,0.1,0.15,0.2,4.99,0.0,1000.0
222,1831427,0.5,False,Centrum-Oost,52.38,4.926,Entire home/apt,2,1,1,5,120.0,4,21,True,2,0,3.83,False,60.0,480.0,0.08,0.13,0.2,4.99,0.4301369863013699,600.0
223,1835186,0.89,False,Oostelijk Havengebied - Indische Buurt,52.38,4.94,Private room,1,1,1,2,63.0,4,6,True,0,2,4.26,False,63.0,252.0,0.05,0.12,0.17,2.99,0.0,306.13698630136986
224,1838751,0.99,False,Centrum-West,52.38,4.88,Entire home/apt,2,1,1,1,100.0,4,10,True,0,0,4.69,True,50.0,400.0,0.05,0.16,0.15,4.99,0.0,500.05479452054794
225,1845443,0.86,False,Westerpark,52.38,4.87,Entire home/apt,2,1,1,5,122.0,25,109,True,2,0,4.95,False,61.0,3050.0,0.04,0.13,0.19,4.99,0.005479452054794521,609.2465753424658
226,1863996,0.0,False,Bos en Lommer,52.38,4.855,Entire home/apt,2,1,1,2,75.0,3,101,True,0,0,4.37,False,37.5,225.0,0.05,0.12,0.15,4.99,0.0,375.0
227,1901877,0.76,True,Centrum-West,52.38,4.887,Private room,2,1,1,3,105.0,3,101,True,5,4,4.89,False,52.5,315.0,0.09,0.12,0.14,4.99,0.6876712328767123,525.0
